id,id_produto,tipo,temperatura_ar,temperatura_processo,umidade_relativa,velocidade_rotacional,torque,desgaste_da_ferramenta,falha_maquina,FDF (Falha Desgaste Ferramenta),FDC (Falha Dissipacao Calor),FP (Falha Potencia),FTE (Falha Tensao Excessiva),FA (Falha Aleatoria)
53,L51453,L,302.6,310.8,90.0,1486.0,36.4,160.0,Não,Não,Não,Não,Não,Não
54,L53005,L,301.3,311.1,90.0,1413.0,42.0,221.0,Não,Não,Não,Não,Não,Não
57,L47629,L,297.6,308.7,90.0,1622.0,37.9,79.0,Não,Não,Não,Não,Não,Não
58,L49407,L,299.5,308.8,90.0,1965.0,20.4,164.0,Não,Não,Não,Não,Não,Não
63,L52618,L,302.9,312.5,90.0,1683.0,32.1,85.0,Não,Não,Não,Não,Não,Não
64,L54713,L,300.0,311.2,90.0,1504.0,37.9,58.0,Não,Não,Não,Não,Não,Não
65,H35783,H,300.0,309.5,90.0,1781.0,24.9,70.0,Não,Não,Não,Não,Não,Não
67,L48657,L,298.3,309.4,90.0,1570.0,35.6,138.0,Não,Não,Não,Não,Não,Não
68,L48970,L,298.2,307.9,90.0,1847.0,23.6,69.0,Não,Não,Não,Não,Não,Não
69,L49188,L,298.5,308.3,90.0,1811.0,24.7,27.0,Não,Não,Não,Não,Não,Não
71,L49996,L,300.1,309.4,90.0,1434.0,47.3,127.0,Não,Não,Não,Não,Não,Não
72,L56611,L,298.0,308.6,90.0,1430.0,57.0,43.0,Não,Não,Não,Não,Não,Não
73,M18634,M,302.4,311.1,90.0,1480.0,45.7,200.0,Não,Não,Não,Não,Não,Não
74,M21355,M,300.6,309.8,90.0,1694.0,31.1,187.0,Não,Não,Não,Não,Não,Não
76,L54541,L,299.5,310.0,90.0,1502.0,38.5,52.0,Não,Não,Não,Não,Não,Não
79,M14906,M,298.7,309.0,90.0,1843.0,25.8,130.0,Não,Não,Não,Não,Não,Não
80,M14890,M,299.1,309.5,90.0,1339.0,48.2,86.0,Não,Não,Não,Não,Não,Não
81,M23110,M,299.0,310.4,90.0,1394.0,45.2,122.0,Não,Não,Não,Não,Não,Não
82,L54115,L,300.7,311.2,90.0,1878.0,24.3,24.0,Não,Não,Não,Não,Não,Não
86,L53660,L,300.7,309.9,90.0,1775.0,26.6,149.0,Não,Não,Não,Não,Não,Não
89,M19233,M,301.9,309.7,90.0,1533.0,35.9,204.0,Não,Não,Não,Não,Não,Não
91,L47609,L,297.5,308.6,90.0,1208.0,62.3,28.0,Não,Não,Não,Não,Não,Não
93,M16979,M,299.3,308.9,90.0,1858.0,24.7,101.0,Não,Não,Não,Não,Não,Não
94,M15245,M,297.6,308.6,90.0,1414.0,45.4,138.0,Não,Não,Não,Não,Não,Não
95,L49125,L,298.1,308.1,90.0,1616.0,32.8,65.0,Não,Não,Não,Não,Não,Não
97,M15333,M,297.4,309.0,90.0,1520.0,37.0,147.0,Não,Não,Não,Não,Não,Não
98,H31543,H,299.4,309.0,90.0,1607.0,33.7,130.0,Não,Não,Não,Não,Não,Não
100,M21858,M,300.6,310.7,90.0,1388.0,42.9,190.0,Não,Não,Não,Não,Não,Não
101,L48235,L,296.8,307.8,90.0,1480.0,39.4,122.0,Não,Não,Não,Não,Não,Não
104,L52543,L,303.2,312.5,90.0,1518.0,39.9,146.0,Não,Não,Não,Não,Não,Não
106,L47991,L,296.8,307.6,90.0,1588.0,37.6,126.0,Não,Não,Não,Não,Não,Não
107,H33987,H,302.8,311.0,90.0,1436.0,43.5,47.0,Não,Não,Não,Não,Não,Não
108,M20997,M,300.9,310.8,90.0,1988.0,19.7,136.0,Não,Não,Não,Não,Não,Não
111,M21085,M,301.2,311.0,90.0,1424.0,41.4,131.0,Não,Não,Não,Não,Não,Não
112,H29525,H,298.7,308.6,90.0,1499.0,43.5,84.0,Não,Não,Não,Não,Não,Não
113,L56089,L,297.1,308.4,90.0,1529.0,40.4,165.0,Não,Não,Não,Não,Não,Não
116,L48632,L,299.0,310.3,90.0,1584.0,34.4,83.0,Não,Não,Não,Não,Não,Não
118,M23453,M,297.4,308.0,90.0,1601.0,34.6,181.0,Não,Não,Não,Não,Não,Não
120,L49102,L,298.0,307.8,90.0,1716.0,26.6,9.0,Não,Não,Não,Não,Não,Não
121,M20725,M,301.5,311.1,90.0,1402.0,40.0,94.0,Não,Não,Não,Não,Não,Não
122,M24388,M,299.1,310.3,90.0,1233.0,59.0,81.0,Não,Não,Não,Não,Não,Não
123,M18545,M,301.9,311.1,90.0,1380.0,51.6,184.0,Não,Não,Não,Não,Não,Não
125,L52069,L,303.7,312.5,90.0,1632.0,36.6,186.0,Não,Não,Não,Não,Não,Não
129,L48232,L,296.7,307.7,90.0,1927.0,23.9,112.0,Não,Não,Não,Não,Não,Não
132,L47279,L,298.8,308.8,90.0,1523.0,44.4,55.0,Não,Não,Não,Não,Não,Não
138,L51689,L,302.4,310.1,90.0,1429.0,43.7,104.0,Não,Não,Não,Não,Não,Não
143,H35876,H,300.6,310.0,90.0,1483.0,44.0,97.0,Não,Não,Não,Não,Não,Não
145,M16274,M,298.7,309.8,90.0,1570.0,42.1,200.0,Não,Não,Não,Não,Não,Não
146,L47720,L,297.4,309.4,90.0,1473.0,45.5,94.0,Não,Não,Não,Não,Não,Não
147,L52995,L,301.2,311.0,90.0,1670.0,33.0,200.0,Não,Não,Não,Não,Não,Não
148,L55379,L,299.2,310.7,90.0,1737.0,27.0,225.0,Sim,Sim,Não,Não,Não,Não
150,M15614,M,296.9,308.1,90.0,1483.0,44.3,219.0,Não,Não,Não,Não,Não,Não
151,M19056,M,302.5,311.0,90.0,1563.0,35.6,190.0,Não,Não,Não,Não,Não,Não
152,L49830,L,299.9,309.6,90.0,1280.0,59.3,163.0,Não,Não,Não,Não,Não,Não
153,M19382,M,302.5,310.5,90.0,1918.0,21.6,131.0,Não,Não,Não,Não,Não,Não
154,L56699,L,299.0,310.1,90.0,1531.0,36.0,57.0,Não,Não,Não,Não,Não,Não
156,L50908,L,302.3,311.3,90.0,1457.0,44.5,83.0,Não,Não,Não,Não,Não,Não
157,L51066,L,302.4,311.3,90.0,1392.0,50.5,51.0,Não,Não,Não,Não,Não,Não
162,L55947,L,297.5,308.6,90.0,1380.0,53.5,192.0,Não,Não,Não,Não,Não,Não
163,M21360,M,300.9,310.0,90.0,1416.0,46.6,201.0,Não,Não,Não,Não,Não,Não
165,L55143,L,301.0,312.2,90.0,1510.0,39.9,61.0,Não,Não,Não,Não,Não,Não
166,L47781,L,297.9,309.7,90.0,2194.0,16.8,27.0,Não,Não,Não,Não,Não,Não
169,H36228,H,300.8,310.6,90.0,1465.0,44.1,136.0,Não,Não,Não,Não,Não,Não
175,L48737,L,298.3,308.4,90.0,1585.0,30.6,127.0,Não,Não,Não,Não,Não,Não
179,L49295,L,299.4,309.0,90.0,1404.0,47.3,86.0,Não,Não,Não,Não,Não,Não
180,L48879,L,298.1,307.7,90.0,1289.0,48.3,42.0,Não,Não,Não,Não,Não,Não
183,L56323,L,297.6,308.5,90.0,1452.0,42.6,116.0,Não,Não,Não,Não,Não,Não
184,H30032,H,298.2,310.0,90.0,1433.0,44.2,68.0,Não,Não,Não,Não,Não,Não
187,M16460,M,297.8,307.8,90.0,1543.0,43.7,8.0,Não,Não,Não,Não,Não,Não
190,L53100,L,300.5,310.2,90.0,1764.0,25.9,27.0,Não,Não,Não,Não,Não,Não
194,M19434,M,302.9,311.0,90.0,1402.0,40.7,52.0,Não,Não,Não,Não,Não,Não
195,L52774,L,302.6,311.9,90.0,1598.0,35.5,69.0,Não,Não,Não,Não,Não,Não
197,M19447,M,302.8,311.0,90.0,1507.0,33.4,82.0,Não,Não,Não,Não,Não,Não
201,M19989,M,304.1,313.3,90.0,1725.0,28.3,177.0,Não,Não,Não,Não,Não,Não
202,M23194,M,298.8,309.7,90.0,1459.0,47.3,141.0,Não,Não,Não,Não,Não,Não
205,L52887,L,302.4,311.8,90.0,1448.0,43.4,141.0,Não,Não,Não,Não,Não,Não
207,L53516,L,300.4,309.8,90.0,1395.0,48.1,201.0,Não,Não,Não,Não,Não,Não
208,M16914,M,299.6,309.4,90.0,1605.0,29.8,142.0,Não,Não,Não,Não,Não,Não
209,M22472,M,300.5,311.4,90.0,1743.0,27.6,46.0,Não,Não,Não,Não,Não,Não
211,H33377,H,302.3,311.5,90.0,1526.0,38.2,47.0,Não,Não,Não,Não,Não,Não
214,M19461,M,303.0,311.1,90.0,1372.0,54.3,117.0,Sim,Não,Sim,Não,Não,Não
215,M18581,M,302.2,311.2,90.0,1544.0,43.6,63.0,Não,Não,Não,Não,Não,Não
217,H30736,H,298.9,310.1,90.0,1452.0,49.9,187.0,Não,Não,Não,Não,Não,Não
219,L54404,L,299.8,309.6,90.0,1598.0,31.0,139.0,Não,Não,Não,Não,Não,Não
220,M22285,M,300.0,311.4,90.0,1791.0,24.1,213.0,Não,Não,Não,Não,Não,Não
221,H33750,H,301.6,309.9,90.0,1423.0,53.6,95.0,Não,Não,Não,Não,Não,Não
223,L51591,L,302.5,310.3,90.0,1688.0,31.6,66.0,Não,Não,Não,Não,Não,Não
224,L53038,L,301.3,311.0,90.0,1348.0,44.5,78.0,Não,Não,Não,Não,Não,Não
225,M24203,M,298.3,308.8,90.0,1391.0,50.4,13.0,Não,Não,Não,Não,Não,Não
227,M20939,M,300.8,310.7,90.0,1371.0,44.7,205.0,Não,Não,Não,Não,Não,Não
230,M22417,M,300.4,311.5,90.0,1750.0,27.3,116.0,Não,Não,Não,Não,Não,Não
231,L50952,L,302.4,311.1,90.0,1448.0,44.8,195.0,Não,Não,Não,Não,Não,Não
232,M23639,M,297.5,308.6,90.0,1349.0,51.5,21.0,Não,Não,Não,Não,Não,Não
233,M18317,M,301.5,310.4,90.0,2639.0,12.0,21.0,Sim,Não,Não,Sim,Não,Não
234,M23243,M,298.8,309.9,90.0,1495.0,35.2,60.0,Não,Não,Não,Não,Não,Não
235,L48534,L,298.6,310.0,90.0,1334.0,48.0,42.0,Não,Não,Não,Não,Não,Não
237,L57052,L,298.9,309.9,90.0,1373.0,52.1,108.0,Não,Não,Não,Não,Não,Não
238,H30162,H,296.7,308.1,90.0,1528.0,46.3,203.0,Não,Não,Não,Não,Não,Não
239,L55097,L,300.9,312.1,90.0,1474.0,42.4,171.0,Não,Não,Não,Não,Não,Não
242,L51837,L,303.1,311.2,90.0,1628.0,35.2,23.0,Não,Não,Não,Não,Não,Não
244,L50640,L,301.5,310.3,90.0,1415.0,41.6,28.0,Não,Não,Não,Não,Não,Não
247,L54255,L,300.7,310.5,90.0,1536.0,47.4,192.0,Não,Não,Não,Não,Não,Não
248,M20698,M,301.4,311.2,90.0,1476.0,36.5,25.0,Não,Não,Não,Não,Não,Não
249,L55271,L,300.2,311.6,90.0,1375.0,56.9,155.0,Não,Não,Não,Não,Não,Não
252,L54681,L,300.2,311.7,90.0,1640.0,30.8,191.0,Não,Não,Não,Não,Não,Não
254,M22227,M,299.5,310.1,90.0,1359.0,61.1,67.0,Não,Não,Não,Não,Não,Não
256,H39052,H,299.3,310.4,90.0,1393.0,44.9,162.0,Não,Não,Não,Não,Não,Não
257,H38469,H,297.3,308.4,90.0,1864.0,23.1,90.0,Não,Não,Não,Não,Não,Não
259,M17179,M,299.2,308.8,90.0,1700.0,33.5,185.0,Não,Não,Não,Não,Não,Não
260,L50722,L,301.8,310.9,90.0,1899.0,24.7,31.0,Não,Não,Não,Não,Não,Não
261,M18537,M,302.3,311.7,90.0,1368.0,53.6,165.0,Não,Não,Não,Não,Não,Não
264,M15535,M,297.8,309.1,90.0,1424.0,45.5,2.0,Não,Não,Não,Não,Não,Não
268,L49142,L,297.8,307.5,90.0,1391.0,48.6,109.0,Não,Não,Não,Não,Não,Não
269,M16700,M,297.7,307.2,90.0,1405.0,43.7,2.0,Não,Não,Não,Não,Não,Não
271,L57078,L,298.7,309.2,90.0,1396.0,44.8,178.0,Não,Não,Não,Não,Não,Não
272,L50718,L,302.0,311.1,90.0,1635.0,36.0,23.0,Não,Não,Não,Não,Não,Não
277,M19237,M,301.8,309.6,90.0,1436.0,49.0,214.0,Não,Não,Não,Não,Não,Não
282,L53306,L,300.9,310.9,90.0,1370.0,52.5,107.0,Não,Não,Não,Não,Não,Não
283,L52390,L,303.7,312.6,90.0,1466.0,42.5,183.0,Não,Não,Não,Não,Não,Não
284,L48610,L,298.9,310.0,90.0,1378.0,49.3,18.0,Não,Não,Não,Não,Não,Não
285,L49605,L,298.8,308.1,90.0,1472.0,53.5,28.0,Não,Não,Não,Não,Não,Não
288,L51898,L,303.3,311.6,90.0,1337.0,56.8,187.0,Sim,Não,Sim,Não,Não,Não
289,L54365,L,300.3,310.4,90.0,1672.0,29.2,39.0,Não,Não,Não,Não,Não,Não
290,L48597,L,298.7,309.9,90.0,1541.0,38.5,208.0,Não,Não,Não,Não,Não,Não
291,L54379,L,300.0,309.9,90.0,1507.0,41.4,74.0,Não,Não,Não,Não,Não,Não
292,L47784,L,297.9,309.9,90.0,1542.0,33.8,33.0,Não,Não,Não,Não,Não,Não
293,H30686,H,298.0,309.4,90.0,1562.0,38.1,58.0,Não,Não,Não,Não,Não,Não
296,L55926,L,297.3,308.5,90.0,1528.0,44.5,140.0,Não,Não,Não,Não,Não,Não
297,L47427,L,298.0,308.2,90.0,1469.0,45.5,214.0,Não,Não,Não,Não,Não,Não
298,L56406,L,298.0,309.1,90.0,1822.0,23.5,122.0,Não,Não,Não,Não,Não,Não
299,M16842,M,298.0,307.7,90.0,1487.0,41.3,160.0,Não,Não,Não,Não,Não,Não
300,L50015,L,300.3,309.2,90.0,1572.0,32.0,173.0,Não,Não,Não,Não,Não,Não
302,L47379,L,298.4,308.6,90.0,1433.0,47.1,101.0,Não,Não,Não,Não,Não,Não
303,M15345,M,297.4,309.0,90.0,1685.0,30.7,177.0,Não,Não,Não,Não,Não,Não
306,L47635,L,297.4,308.7,90.0,1429.0,57.4,96.0,Não,Não,Não,Não,Não,Não
308,M23686,M,297.2,308.8,90.0,1485.0,47.9,143.0,Não,Não,Não,Não,Não,Não
309,L53695,L,301.0,310.0,90.0,1480.0,43.5,21.0,Não,Não,Não,Não,Não,Não
310,L48901,L,298.2,307.7,90.0,1688.0,32.4,91.0,Não,Não,Não,Não,Não,Não
313,L55345,L,299.6,311.0,90.0,1552.0,33.2,139.0,Não,Não,Não,Não,Não,Não
318,L49274,L,299.4,309.3,90.0,1377.0,43.6,28.0,Não,Não,Não,Não,Não,Não
319,L48127,L,295.6,306.2,90.0,1428.0,44.5,51.0,Não,Não,Não,Não,Não,Não
322,H30694,H,298.3,309.5,90.0,1521.0,37.1,84.0,Não,Não,Não,Não,Não,Não
324,M23812,M,297.2,308.0,90.0,1478.0,42.5,56.0,Não,Não,Não,Não,Não,Não
325,L54789,L,300.5,311.3,90.0,1490.0,41.8,39.0,Não,Não,Não,Não,Não,Não
326,L52315,L,304.1,313.3,90.0,1883.0,24.5,190.0,Não,Não,Não,Não,Não,Não
331,L55884,L,297.1,308.5,90.0,1425.0,40.0,35.0,Não,Não,Não,Não,Não,Não
334,M19177,M,301.5,310.0,90.0,1417.0,44.6,49.0,Não,Não,Não,Não,Não,Não
336,L51567,L,302.0,309.8,90.0,1532.0,39.4,2.0,Não,Não,Não,Não,Não,Não
338,L51445,L,302.6,311.0,90.0,1424.0,38.0,144.0,Não,Não,Não,Não,Não,Não
340,L52566,L,302.9,312.2,90.0,1469.0,42.0,214.0,Não,Não,Não,Não,Não,Não
343,L51652,L,302.7,310.6,90.0,1501.0,48.7,4.0,Não,Não,Não,Não,Não,Não
346,H37063,H,300.4,311.5,90.0,1662.0,29.0,137.0,Não,Não,Não,Não,Não,Não
347,H37795,H,298.8,310.0,90.0,1530.0,38.3,53.0,Não,Não,Não,Não,Não,Não
349,M17618,M,299.7,309.2,90.0,1412.0,45.3,205.0,Não,Não,Não,Não,Não,Não
352,L54296,L,301.0,310.5,90.0,1601.0,33.2,77.0,Não,Não,Não,Não,Não,Não
353,M21190,M,300.5,310.0,90.0,1580.0,37.0,181.0,Não,Não,Não,Não,Não,Não
354,L48908,L,298.3,307.7,90.0,1465.0,49.4,109.0,Não,Não,Não,Não,Não,Não
355,M19036,M,302.3,310.7,90.0,1544.0,39.7,141.0,Não,Não,Não,Não,Não,Não
356,L47517,L,297.6,308.3,90.0,1742.0,27.7,13.0,Não,Não,Não,Não,Não,Não
358,H36292,H,300.9,311.2,90.0,1518.0,35.0,90.0,Não,Não,Não,Não,Não,Não
359,L54428,L,300.0,310.1,90.0,1762.0,28.0,202.0,Não,Não,Não,Não,Não,Não
360,M23312,M,298.6,310.0,90.0,1512.0,37.5,27.0,Não,Não,Não,Não,Não,Não
364,L50720,L,301.9,310.9,90.0,1574.0,31.4,27.0,Não,Não,Não,Não,Não,Não
365,L53048,L,301.5,311.1,90.0,1731.0,27.9,101.0,Não,Não,Não,Não,Não,Não
367,L49871,L,300.0,309.6,90.0,1431.0,47.7,39.0,Não,Não,Não,Não,Não,Não
368,L54333,L,300.2,310.0,90.0,1493.0,47.3,172.0,Não,Não,Não,Não,Não,Não
371,L55691,L,298.4,309.7,90.0,1457.0,44.2,175.0,Não,Não,Não,Não,Não,Não
372,M17667,M,299.9,309.3,90.0,1452.0,41.9,106.0,Não,Não,Não,Não,Não,Não
375,H29764,H,297.6,308.3,90.0,1400.0,44.3,43.0,Não,Não,Não,Não,Não,Não
378,L49114,L,298.1,307.9,90.0,1698.0,33.3,40.0,Não,Não,Não,Não,Não,Não
379,L54081,L,301.0,311.7,90.0,1547.0,34.5,152.0,Não,Não,Não,Não,Não,Não
381,H29978,H,297.6,309.6,90.0,1669.0,32.1,155.0,Não,Não,Não,Não,Não,Não
382,H30996,H,298.1,308.3,90.0,1530.0,42.0,184.0,Não,Não,Não,Não,Não,Não
384,M17035,M,299.5,309.2,90.0,1590.0,35.9,22.0,Não,Não,Não,Não,Não,Não
387,H31642,H,299.4,308.6,90.0,1542.0,41.8,166.0,Não,Não,Não,Não,Não,Não
388,M15975,M,296.4,307.3,90.0,2077.0,19.1,80.0,Não,Não,Não,Não,Não,Não
390,M18404,M,301.9,310.9,90.0,1483.0,37.0,35.0,Não,Não,Não,Não,Não,Não
391,H34462,H,304.0,313.2,90.0,1271.0,68.6,161.0,Sim,Não,Não,Sim,Não,Não
392,L54656,L,300.2,311.5,90.0,1492.0,41.8,128.0,Não,Não,Não,Não,Não,Não
394,H35946,H,301.2,310.6,90.0,1352.0,52.0,69.0,Não,Não,Não,Não,Não,Não
395,M17132,M,299.3,308.6,90.0,1448.0,52.1,71.0,Não,Não,Não,Não,Não,Não
397,L47261,L,298.9,308.9,90.0,1450.0,47.5,9.0,Não,Não,Não,Não,Não,Não
398,L48503,L,298.9,310.1,90.0,1361.0,51.7,192.0,Não,Não,Não,Não,Não,Não
401,M15691,M,296.6,307.4,90.0,1544.0,42.3,170.0,Não,Não,Não,Não,Não,Não
402,M18743,M,302.4,311.4,90.0,1534.0,40.1,41.0,Não,Não,Não,Não,Não,Não
403,M23501,M,297.6,308.5,90.0,1360.0,48.6,77.0,Não,Não,Não,Não,Não,Não
405,M20199,M,303.4,312.7,90.0,1594.0,32.8,79.0,Não,Não,Não,Não,Não,Não
407,H31063,H,298.0,307.9,90.0,1482.0,37.8,132.0,Não,Não,Não,Não,Não,Não
409,L56845,L,299.2,310.3,90.0,1610.0,33.3,233.0,Não,Não,Não,Não,Não,Não
410,L50218,L,300.4,309.5,90.0,1349.0,50.4,30.0,Não,Não,Não,Não,Não,Não
411,L50500,L,301.5,310.5,90.0,2289.0,16.4,112.0,Não,Não,Não,Não,Não,Não
412,H36557,H,300.3,309.7,90.0,1582.0,30.8,144.0,Não,Não,Não,Não,Não,Não
413,H36303,H,300.9,311.4,90.0,1387.0,42.7,121.0,Não,Não,Não,Não,Não,Não
414,M19952,M,303.9,313.2,90.0,1608.0,40.6,79.0,Não,Não,Não,Não,Não,Não
415,M18580,M,302.4,311.4,90.0,1508.0,41.2,60.0,Não,Não,Não,Não,Não,Não
417,L47929,L,296.6,308.0,90.0,1978.0,22.3,208.0,Não,Não,Não,Não,Não,Não
418,L52451,L,303.6,313.0,90.0,1534.0,39.7,115.0,Não,Não,Não,Não,Não,Não
419,L49553,L,299.2,308.4,90.0,1350.0,51.3,96.0,Não,Não,Não,Não,Não,Não
420,M19553,M,303.4,311.5,90.0,1817.0,24.7,125.0,Não,Não,Não,Não,Não,Não
422,L55550,L,298.8,309.8,90.0,1634.0,33.6,27.0,Não,Não,Não,Não,Não,Não
424,L51548,L,302.0,310.0,90.0,1664.0,28.6,190.0,Não,Não,Não,Não,Não,Não
426,L54581,L,299.8,310.8,90.0,1409.0,51.9,154.0,Não,Não,Não,Não,Não,Não
427,M15999,M,297.0,307.9,90.0,1569.0,33.3,141.0,Não,Não,Não,Não,Não,Não
429,L49411,L,299.4,308.6,90.0,1415.0,56.4,175.0,Não,Não,Não,Não,Não,Não
432,L56624,L,298.1,308.9,90.0,2136.0,15.9,78.0,Não,Não,Não,Não,Não,Não
433,M24097,M,298.1,308.8,90.0,1811.0,25.4,147.0,Não,Não,Não,Não,Não,Não
434,L51741,L,302.9,310.8,90.0,1610.0,32.2,17.0,Não,Não,Não,Não,Não,Não
435,L48750,L,298.2,308.4,90.0,1452.0,43.5,158.0,Não,Não,Não,Não,Não,Não
437,M22023,M,300.1,310.1,90.0,1501.0,39.3,195.0,Não,Não,Não,Não,Não,Não
439,H34081,H,303.3,311.4,90.0,1651.0,30.6,50.0,Não,Não,Não,Não,Não,Não
440,H33979,H,302.7,310.8,90.0,1275.0,55.0,25.0,Sim,Não,Sim,Não,Não,Não
443,L51963,L,303.7,312.5,90.0,1641.0,36.0,125.0,Não,Não,Não,Não,Não,Não
445,M16692,M,297.8,307.4,90.0,1330.0,51.7,183.0,Não,Não,Não,Não,Não,Não
446,L55726,L,298.4,309.3,90.0,1716.0,28.4,66.0,Não,Não,Não,Não,Não,Não
449,L56535,L,298.3,308.9,90.0,1708.0,28.0,42.0,Não,Não,Não,Não,Não,Não
450,L51592,L,302.6,310.5,90.0,1450.0,43.2,68.0,Não,Não,Não,Não,Não,Não
452,L57070,L,298.8,309.5,90.0,1645.0,32.8,157.0,Não,Não,Não,Não,Não,Não
453,H30248,H,296.6,307.4,90.0,1333.0,50.2,177.0,Não,Não,Não,Não,Não,Não
455,L50961,L,302.3,310.8,90.0,1465.0,43.8,7.0,Não,Não,Não,Não,Não,Não
456,L56192,L,297.2,308.0,90.0,1705.0,26.0,200.0,Não,Não,Não,Não,Não,Não
458,L50604,L,301.5,310.5,90.0,1593.0,32.9,155.0,Não,Não,Não,Não,Não,Não
460,M17823,M,300.7,309.6,90.0,1439.0,43.0,61.0,Não,Não,Não,Não,Não,Não
461,M20529,M,302.2,311.5,90.0,1479.0,39.5,36.0,Não,Não,Não,Não,Não,Não
467,L50831,L,302.1,311.5,90.0,1444.0,44.9,97.0,Não,Não,Não,Não,Não,Não
468,L53919,L,301.7,311.2,90.0,1482.0,43.6,154.0,Não,Não,Não,Não,Não,Não
470,H33541,H,302.0,310.6,90.0,1438.0,43.2,12.0,Não,Não,Não,Não,Não,Não
471,L55223,L,300.7,311.9,90.0,1486.0,35.8,32.0,Não,Não,Não,Não,Não,Não
473,M15332,M,297.4,309.0,90.0,1497.0,41.8,144.0,Não,Não,Não,Não,Não,Não
474,M18621,M,302.4,311.0,90.0,1490.0,37.1,168.0,Não,Não,Não,Não,Não,Não
475,L55797,L,297.6,308.6,90.0,1529.0,45.3,15.0,Não,Não,Não,Não,Não,Não
478,M15728,M,295.8,306.5,90.0,1514.0,37.7,60.0,Não,Não,Não,Não,Não,Não
480,L55868,L,297.1,308.5,90.0,1483.0,46.9,203.0,Não,Não,Não,Não,Não,Não
482,L53310,L,301.0,310.9,90.0,1473.0,44.2,116.0,Não,Não,Não,Não,Não,Não
483,M18104,M,301.0,309.6,90.0,1397.0,48.0,135.0,Não,Não,Não,Não,Não,Não
486,L52820,L,302.6,312.1,90.0,1420.0,51.6,182.0,Não,Não,Não,Não,Não,Não
488,L55720,L,298.6,309.5,90.0,1687.0,29.3,47.0,Não,Não,Não,Não,Não,Não
489,H30489,H,296.9,307.8,90.0,1345.0,54.5,172.0,Não,Não,Não,Não,Não,Não
492,L55837,L,297.4,308.4,90.0,1421.0,46.0,124.0,Não,Não,Não,Não,Não,Não
493,L54452,L,300.2,310.3,90.0,1202.0,59.5,40.0,Não,Não,Não,Não,Não,Não
495,L52042,L,303.5,312.1,90.0,1326.0,55.7,114.0,Não,Não,Não,Não,Não,Não
