id,pred_binaria,pred_label
35388,0,Sem falha
35389,0,Sem falha
35390,0,Sem falha
35391,0,Sem falha
35392,0,Sem falha
35393,1,Falha
35394,0,Sem falha
35395,0,Sem falha
35396,0,Sem falha
35397,0,Sem falha
35398,0,Sem falha
35399,0,Sem falha
35400,0,Sem falha
35401,1,Falha
35402,0,Sem falha
35403,0,Sem falha
35404,0,Sem falha
35405,1,Falha
35406,0,Sem falha
35407,0,Sem falha
35408,0,Sem falha
35409,0,Sem falha
35410,0,Sem falha
35411,0,Sem falha
35412,1,Falha
35413,0,Sem falha
35414,1,Falha
35415,1,Falha
35416,1,Falha
35417,0,Sem falha
35418,0,Sem falha
35419,0,Sem falha
35420,0,Sem falha
35421,1,Falha
35422,0,Sem falha
35423,0,Sem falha
35424,0,Sem falha
35425,0,Sem falha
35426,0,Sem falha
35427,0,Sem falha
35428,0,Sem falha
35429,0,Sem falha
35430,0,Sem falha
35431,0,Sem falha
35432,1,Falha
35433,0,Sem falha
35434,0,Sem falha
35435,0,Sem falha
35436,1,Falha
35437,0,Sem falha
35438,0,Sem falha
35439,0,Sem falha
35440,0,Sem falha
35441,0,Sem falha
35442,1,Falha
35443,0,Sem falha
35444,0,Sem falha
35445,1,Falha
35446,0,Sem falha
35447,1,Falha
35448,1,Falha
35449,0,Sem falha
35450,0,Sem falha
35451,0,Sem falha
35452,1,Falha
35453,1,Falha
35454,0,Sem falha
35455,0,Sem falha
35456,0,Sem falha
35457,1,Falha
35458,0,Sem falha
35459,1,Falha
35460,1,Falha
35461,1,Falha
35462,1,Falha
35463,1,Falha
35464,0,Sem falha
35465,0,Sem falha
35466,0,Sem falha
35467,0,Sem falha
35468,0,Sem falha
35469,0,Sem falha
35470,0,Sem falha
35471,1,Falha
35472,0,Sem falha
35473,0,Sem falha
35474,0,Sem falha
35475,1,Falha
35476,0,Sem falha
35477,0,Sem falha
35478,0,Sem falha
35479,0,Sem falha
35480,1,Falha
35481,0,Sem falha
35482,0,Sem falha
35483,0,Sem falha
35484,1,Falha
35485,1,Falha
35486,1,Falha
35487,1,Falha
35488,1,Falha
35489,0,Sem falha
35490,0,Sem falha
35491,0,Sem falha
35492,0,Sem falha
35493,0,Sem falha
35494,1,Falha
35495,1,Falha
35496,0,Sem falha
35497,1,Falha
35498,0,Sem falha
35499,0,Sem falha
35500,1,Falha
35501,0,Sem falha
35502,0,Sem falha
35503,1,Falha
35504,1,Falha
35505,0,Sem falha
35506,1,Falha
35507,0,Sem falha
35508,0,Sem falha
35509,0,Sem falha
35510,0,Sem falha
35511,0,Sem falha
35512,0,Sem falha
35513,0,Sem falha
35514,0,Sem falha
35515,1,Falha
35516,1,Falha
35517,0,Sem falha
35518,0,Sem falha
35519,1,Falha
35520,0,Sem falha
35521,1,Falha
35522,0,Sem falha
35523,0,Sem falha
35524,0,Sem falha
35525,0,Sem falha
35526,0,Sem falha
35527,0,Sem falha
35528,0,Sem falha
35529,0,Sem falha
35530,1,Falha
35531,0,Sem falha
35532,0,Sem falha
35533,0,Sem falha
35534,0,Sem falha
35535,0,Sem falha
35536,1,Falha
35537,0,Sem falha
35538,0,Sem falha
35539,1,Falha
35540,0,Sem falha
35541,0,Sem falha
35542,0,Sem falha
35543,1,Falha
35544,0,Sem falha
35545,1,Falha
35546,1,Falha
35547,0,Sem falha
35548,0,Sem falha
35549,0,Sem falha
35550,0,Sem falha
35551,0,Sem falha
35552,1,Falha
35553,0,Sem falha
35554,0,Sem falha
35555,1,Falha
35556,0,Sem falha
35557,1,Falha
35558,0,Sem falha
35559,0,Sem falha
35560,0,Sem falha
35561,1,Falha
35562,1,Falha
35563,0,Sem falha
35564,0,Sem falha
35565,1,Falha
35566,0,Sem falha
35567,0,Sem falha
35568,0,Sem falha
35569,1,Falha
35570,0,Sem falha
35571,0,Sem falha
35572,0,Sem falha
35573,0,Sem falha
35574,0,Sem falha
35575,0,Sem falha
35576,1,Falha
35577,0,Sem falha
35578,0,Sem falha
35579,0,Sem falha
35580,0,Sem falha
35581,0,Sem falha
35582,1,Falha
35583,0,Sem falha
35584,0,Sem falha
35585,0,Sem falha
35586,1,Falha
35587,1,Falha
35588,0,Sem falha
35589,0,Sem falha
35590,0,Sem falha
35591,1,Falha
35592,0,Sem falha
35593,0,Sem falha
35594,1,Falha
35595,1,Falha
35596,0,Sem falha
35597,0,Sem falha
35598,1,Falha
35599,1,Falha
35600,1,Falha
35601,1,Falha
35602,1,Falha
35603,0,Sem falha
35604,0,Sem falha
35605,0,Sem falha
35606,1,Falha
35607,0,Sem falha
35608,0,Sem falha
35609,0,Sem falha
35610,1,Falha
35611,0,Sem falha
35612,0,Sem falha
35613,0,Sem falha
35614,0,Sem falha
35615,1,Falha
35616,0,Sem falha
35617,1,Falha
35618,0,Sem falha
35619,0,Sem falha
35620,1,Falha
35621,1,Falha
35622,1,Falha
35623,0,Sem falha
35624,0,Sem falha
35625,0,Sem falha
35626,0,Sem falha
35627,0,Sem falha
35628,1,Falha
35629,0,Sem falha
35630,0,Sem falha
35631,0,Sem falha
35632,1,Falha
35633,0,Sem falha
35634,0,Sem falha
35635,0,Sem falha
35636,0,Sem falha
35637,0,Sem falha
35638,0,Sem falha
35639,0,Sem falha
35640,0,Sem falha
35641,0,Sem falha
35642,0,Sem falha
35643,0,Sem falha
35644,0,Sem falha
35645,1,Falha
35646,0,Sem falha
35647,1,Falha
35648,0,Sem falha
35649,1,Falha
35650,0,Sem falha
35651,0,Sem falha
35652,0,Sem falha
35653,0,Sem falha
35654,0,Sem falha
35655,0,Sem falha
35656,0,Sem falha
35657,0,Sem falha
35658,0,Sem falha
35659,0,Sem falha
35660,0,Sem falha
35661,0,Sem falha
35662,0,Sem falha
35663,0,Sem falha
35664,1,Falha
35665,0,Sem falha
35666,0,Sem falha
35667,0,Sem falha
35668,0,Sem falha
35669,0,Sem falha
35670,0,Sem falha
35671,1,Falha
35672,1,Falha
35673,0,Sem falha
35674,0,Sem falha
35675,0,Sem falha
35676,0,Sem falha
35677,1,Falha
35678,0,Sem falha
35679,0,Sem falha
35680,0,Sem falha
35681,0,Sem falha
35682,1,Falha
35683,0,Sem falha
35684,0,Sem falha
35685,0,Sem falha
35686,1,Falha
35687,0,Sem falha
35688,1,Falha
35689,1,Falha
35690,0,Sem falha
35691,1,Falha
35692,0,Sem falha
35693,0,Sem falha
35694,1,Falha
35695,0,Sem falha
35696,0,Sem falha
35697,0,Sem falha
35698,0,Sem falha
35699,0,Sem falha
35700,0,Sem falha
35701,0,Sem falha
35702,0,Sem falha
35703,0,Sem falha
35704,1,Falha
35705,0,Sem falha
35706,0,Sem falha
35707,1,Falha
35708,0,Sem falha
35709,1,Falha
35710,0,Sem falha
35711,0,Sem falha
35712,0,Sem falha
35713,0,Sem falha
35714,0,Sem falha
35715,0,Sem falha
35716,1,Falha
35717,0,Sem falha
35718,0,Sem falha
35719,1,Falha
35720,1,Falha
35721,0,Sem falha
35722,0,Sem falha
35723,1,Falha
35724,0,Sem falha
35725,0,Sem falha
35726,0,Sem falha
35727,0,Sem falha
35728,0,Sem falha
35729,1,Falha
35730,0,Sem falha
35731,0,Sem falha
35732,0,Sem falha
35733,0,Sem falha
35734,0,Sem falha
35735,1,Falha
35736,0,Sem falha
35737,0,Sem falha
35738,1,Falha
35739,0,Sem falha
35740,0,Sem falha
35741,0,Sem falha
35742,0,Sem falha
35743,1,Falha
35744,0,Sem falha
35745,0,Sem falha
35746,0,Sem falha
35747,0,Sem falha
35748,0,Sem falha
35749,0,Sem falha
35750,0,Sem falha
35751,0,Sem falha
35752,1,Falha
35753,0,Sem falha
35754,0,Sem falha
35755,1,Falha
35756,0,Sem falha
35757,0,Sem falha
35758,1,Falha
35759,0,Sem falha
35760,0,Sem falha
35761,0,Sem falha
35762,0,Sem falha
35763,1,Falha
35764,0,Sem falha
35765,0,Sem falha
35766,1,Falha
35767,0,Sem falha
35768,0,Sem falha
35769,0,Sem falha
35770,0,Sem falha
35771,0,Sem falha
35772,0,Sem falha
35773,1,Falha
35774,0,Sem falha
35775,0,Sem falha
35776,1,Falha
35777,1,Falha
35778,1,Falha
35779,0,Sem falha
35780,0,Sem falha
35781,0,Sem falha
35782,0,Sem falha
35783,0,Sem falha
35784,0,Sem falha
35785,0,Sem falha
35786,1,Falha
35787,0,Sem falha
35788,0,Sem falha
35789,0,Sem falha
35790,0,Sem falha
35791,1,Falha
35792,0,Sem falha
35793,1,Falha
35794,0,Sem falha
35795,0,Sem falha
35796,1,Falha
35797,0,Sem falha
35798,0,Sem falha
35799,0,Sem falha
35800,0,Sem falha
35801,1,Falha
35802,0,Sem falha
35803,1,Falha
35804,0,Sem falha
35805,0,Sem falha
35806,0,Sem falha
35807,0,Sem falha
35808,0,Sem falha
35809,0,Sem falha
35810,0,Sem falha
35811,1,Falha
35812,0,Sem falha
35813,1,Falha
35814,0,Sem falha
35815,0,Sem falha
35816,1,Falha
35817,0,Sem falha
35818,0,Sem falha
35819,1,Falha
35820,1,Falha
35821,0,Sem falha
35822,0,Sem falha
35823,0,Sem falha
35824,1,Falha
35825,1,Falha
35826,0,Sem falha
35827,1,Falha
35828,0,Sem falha
35829,0,Sem falha
35830,0,Sem falha
35831,0,Sem falha
35832,0,Sem falha
35833,0,Sem falha
35834,0,Sem falha
35835,0,Sem falha
35836,1,Falha
35837,0,Sem falha
35838,0,Sem falha
35839,0,Sem falha
35840,0,Sem falha
35841,0,Sem falha
35842,0,Sem falha
35843,1,Falha
35844,0,Sem falha
35845,0,Sem falha
35846,0,Sem falha
35847,1,Falha
35848,1,Falha
35849,0,Sem falha
35850,0,Sem falha
35851,0,Sem falha
35852,0,Sem falha
35853,0,Sem falha
35854,0,Sem falha
35855,0,Sem falha
35856,1,Falha
35857,0,Sem falha
35858,0,Sem falha
35859,0,Sem falha
35860,0,Sem falha
35861,1,Falha
35862,0,Sem falha
35863,0,Sem falha
35864,1,Falha
35865,0,Sem falha
35866,0,Sem falha
35867,0,Sem falha
35868,0,Sem falha
35869,0,Sem falha
35870,0,Sem falha
35871,0,Sem falha
35872,0,Sem falha
35873,1,Falha
35874,0,Sem falha
35875,0,Sem falha
35876,0,Sem falha
35877,1,Falha
35878,1,Falha
35879,0,Sem falha
35880,1,Falha
35881,0,Sem falha
35882,0,Sem falha
35883,0,Sem falha
35884,0,Sem falha
35885,0,Sem falha
35886,0,Sem falha
35887,0,Sem falha
35888,1,Falha
35889,0,Sem falha
35890,0,Sem falha
35891,0,Sem falha
35892,0,Sem falha
35893,0,Sem falha
35894,0,Sem falha
35895,0,Sem falha
35896,0,Sem falha
35897,1,Falha
35898,0,Sem falha
35899,0,Sem falha
35900,0,Sem falha
35901,0,Sem falha
35902,0,Sem falha
35903,0,Sem falha
35904,0,Sem falha
35905,0,Sem falha
35906,0,Sem falha
35907,0,Sem falha
35908,1,Falha
35909,1,Falha
35910,0,Sem falha
35911,0,Sem falha
35912,0,Sem falha
35913,0,Sem falha
35914,0,Sem falha
35915,1,Falha
35916,0,Sem falha
35917,0,Sem falha
35918,1,Falha
35919,0,Sem falha
35920,0,Sem falha
35921,0,Sem falha
35922,1,Falha
35923,0,Sem falha
35924,0,Sem falha
35925,0,Sem falha
35926,1,Falha
35927,0,Sem falha
35928,0,Sem falha
35929,0,Sem falha
35930,0,Sem falha
35931,0,Sem falha
35932,0,Sem falha
35933,0,Sem falha
35934,0,Sem falha
35935,0,Sem falha
35936,0,Sem falha
35937,1,Falha
35938,1,Falha
35939,0,Sem falha
35940,0,Sem falha
35941,0,Sem falha
35942,1,Falha
35943,0,Sem falha
35944,0,Sem falha
35945,0,Sem falha
35946,1,Falha
35947,0,Sem falha
35948,0,Sem falha
35949,0,Sem falha
35950,0,Sem falha
35951,1,Falha
35952,0,Sem falha
35953,1,Falha
35954,0,Sem falha
35955,1,Falha
35956,1,Falha
35957,1,Falha
35958,0,Sem falha
35959,0,Sem falha
35960,0,Sem falha
35961,0,Sem falha
35962,0,Sem falha
35963,0,Sem falha
35964,0,Sem falha
35965,0,Sem falha
35966,1,Falha
35967,1,Falha
35968,0,Sem falha
35969,1,Falha
35970,0,Sem falha
35971,0,Sem falha
35972,1,Falha
35973,0,Sem falha
35974,1,Falha
35975,1,Falha
35976,1,Falha
35977,1,Falha
35978,1,Falha
35979,0,Sem falha
35980,1,Falha
35981,1,Falha
35982,0,Sem falha
35983,0,Sem falha
35984,1,Falha
35985,1,Falha
35986,0,Sem falha
35987,1,Falha
35988,0,Sem falha
35989,1,Falha
35990,0,Sem falha
35991,1,Falha
35992,1,Falha
35993,0,Sem falha
35994,0,Sem falha
35995,0,Sem falha
35996,0,Sem falha
35997,0,Sem falha
35998,1,Falha
35999,0,Sem falha
36000,0,Sem falha
36001,0,Sem falha
36002,0,Sem falha
36003,0,Sem falha
36004,0,Sem falha
36005,0,Sem falha
36006,1,Falha
36007,0,Sem falha
36008,1,Falha
36009,0,Sem falha
36010,0,Sem falha
36011,0,Sem falha
36012,1,Falha
36013,0,Sem falha
36014,0,Sem falha
36015,0,Sem falha
36016,0,Sem falha
36017,0,Sem falha
36018,0,Sem falha
36019,0,Sem falha
36020,1,Falha
36021,0,Sem falha
36022,0,Sem falha
36023,1,Falha
36024,0,Sem falha
36025,1,Falha
36026,0,Sem falha
36027,0,Sem falha
36028,1,Falha
36029,1,Falha
36030,0,Sem falha
36031,1,Falha
36032,0,Sem falha
36033,0,Sem falha
36034,0,Sem falha
36035,0,Sem falha
36036,0,Sem falha
36037,0,Sem falha
36038,0,Sem falha
36039,0,Sem falha
36040,0,Sem falha
36041,0,Sem falha
36042,0,Sem falha
36043,1,Falha
36044,1,Falha
36045,0,Sem falha
36046,0,Sem falha
36047,0,Sem falha
36048,0,Sem falha
36049,1,Falha
36050,0,Sem falha
36051,0,Sem falha
36052,1,Falha
36053,1,Falha
36054,1,Falha
36055,0,Sem falha
36056,1,Falha
36057,0,Sem falha
36058,0,Sem falha
36059,0,Sem falha
36060,1,Falha
36061,0,Sem falha
36062,1,Falha
36063,0,Sem falha
36064,1,Falha
36065,0,Sem falha
36066,1,Falha
36067,0,Sem falha
36068,1,Falha
36069,0,Sem falha
36070,0,Sem falha
36071,0,Sem falha
36072,0,Sem falha
36073,0,Sem falha
36074,0,Sem falha
36075,0,Sem falha
36076,1,Falha
36077,1,Falha
36078,0,Sem falha
36079,1,Falha
36080,0,Sem falha
36081,1,Falha
36082,0,Sem falha
36083,0,Sem falha
36084,0,Sem falha
36085,0,Sem falha
36086,1,Falha
36087,0,Sem falha
36088,1,Falha
36089,0,Sem falha
36090,0,Sem falha
36091,0,Sem falha
36092,0,Sem falha
36093,1,Falha
36094,0,Sem falha
36095,0,Sem falha
36096,1,Falha
36097,1,Falha
36098,0,Sem falha
36099,0,Sem falha
36100,0,Sem falha
36101,0,Sem falha
36102,1,Falha
36103,0,Sem falha
36104,0,Sem falha
36105,0,Sem falha
36106,0,Sem falha
36107,0,Sem falha
36108,0,Sem falha
36109,0,Sem falha
36110,1,Falha
36111,0,Sem falha
36112,0,Sem falha
36113,1,Falha
36114,0,Sem falha
36115,0,Sem falha
36116,0,Sem falha
36117,1,Falha
36118,1,Falha
36119,0,Sem falha
36120,0,Sem falha
36121,0,Sem falha
36122,1,Falha
36123,0,Sem falha
36124,1,Falha
36125,1,Falha
36126,0,Sem falha
36127,0,Sem falha
36128,1,Falha
36129,0,Sem falha
36130,1,Falha
36131,0,Sem falha
36132,0,Sem falha
36133,1,Falha
36134,1,Falha
36135,1,Falha
36136,0,Sem falha
36137,0,Sem falha
36138,0,Sem falha
36139,0,Sem falha
36140,1,Falha
36141,0,Sem falha
36142,0,Sem falha
36143,0,Sem falha
36144,0,Sem falha
36145,0,Sem falha
36146,0,Sem falha
36147,1,Falha
36148,0,Sem falha
36149,1,Falha
36150,0,Sem falha
36151,1,Falha
36152,0,Sem falha
36153,0,Sem falha
36154,0,Sem falha
36155,1,Falha
36156,1,Falha
36157,0,Sem falha
36158,0,Sem falha
36159,0,Sem falha
36160,1,Falha
36161,0,Sem falha
36162,0,Sem falha
36163,0,Sem falha
36164,1,Falha
36165,0,Sem falha
36166,1,Falha
36167,0,Sem falha
36168,0,Sem falha
36169,0,Sem falha
36170,0,Sem falha
36171,0,Sem falha
36172,1,Falha
36173,0,Sem falha
36174,1,Falha
36175,1,Falha
36176,1,Falha
36177,0,Sem falha
36178,0,Sem falha
36179,0,Sem falha
36180,0,Sem falha
36181,0,Sem falha
36182,0,Sem falha
36183,0,Sem falha
36184,0,Sem falha
36185,0,Sem falha
36186,0,Sem falha
36187,0,Sem falha
36188,0,Sem falha
36189,1,Falha
36190,0,Sem falha
36191,1,Falha
36192,0,Sem falha
36193,0,Sem falha
36194,0,Sem falha
36195,0,Sem falha
36196,0,Sem falha
36197,0,Sem falha
36198,1,Falha
36199,1,Falha
36200,1,Falha
36201,0,Sem falha
36202,0,Sem falha
36203,0,Sem falha
36204,1,Falha
36205,0,Sem falha
36206,0,Sem falha
36207,0,Sem falha
36208,1,Falha
36209,0,Sem falha
36210,0,Sem falha
36211,0,Sem falha
36212,0,Sem falha
36213,1,Falha
36214,0,Sem falha
36215,0,Sem falha
36216,0,Sem falha
36217,0,Sem falha
36218,0,Sem falha
36219,0,Sem falha
36220,0,Sem falha
36221,0,Sem falha
36222,0,Sem falha
36223,1,Falha
36224,0,Sem falha
36225,1,Falha
36226,1,Falha
36227,0,Sem falha
36228,0,Sem falha
36229,1,Falha
36230,0,Sem falha
36231,0,Sem falha
36232,1,Falha
36233,0,Sem falha
36234,0,Sem falha
36235,0,Sem falha
36236,0,Sem falha
36237,1,Falha
36238,0,Sem falha
36239,0,Sem falha
36240,1,Falha
36241,0,Sem falha
36242,1,Falha
36243,0,Sem falha
36244,1,Falha
36245,0,Sem falha
36246,0,Sem falha
36247,0,Sem falha
36248,1,Falha
36249,0,Sem falha
36250,0,Sem falha
36251,0,Sem falha
36252,1,Falha
36253,0,Sem falha
36254,0,Sem falha
36255,1,Falha
36256,0,Sem falha
36257,0,Sem falha
36258,1,Falha
36259,0,Sem falha
36260,1,Falha
36261,1,Falha
36262,1,Falha
36263,0,Sem falha
36264,0,Sem falha
36265,0,Sem falha
36266,0,Sem falha
36267,0,Sem falha
36268,1,Falha
36269,0,Sem falha
36270,0,Sem falha
36271,1,Falha
36272,1,Falha
36273,0,Sem falha
36274,0,Sem falha
36275,0,Sem falha
36276,0,Sem falha
36277,1,Falha
36278,1,Falha
36279,0,Sem falha
36280,0,Sem falha
36281,0,Sem falha
36282,0,Sem falha
36283,0,Sem falha
36284,0,Sem falha
36285,0,Sem falha
36286,0,Sem falha
36287,1,Falha
36288,0,Sem falha
36289,1,Falha
36290,0,Sem falha
36291,0,Sem falha
36292,1,Falha
36293,1,Falha
36294,0,Sem falha
36295,1,Falha
36296,1,Falha
36297,0,Sem falha
36298,0,Sem falha
36299,0,Sem falha
36300,0,Sem falha
36301,0,Sem falha
36302,1,Falha
36303,1,Falha
36304,0,Sem falha
36305,1,Falha
36306,0,Sem falha
36307,0,Sem falha
36308,0,Sem falha
36309,0,Sem falha
36310,0,Sem falha
36311,1,Falha
36312,0,Sem falha
36313,0,Sem falha
36314,0,Sem falha
36315,0,Sem falha
36316,0,Sem falha
36317,0,Sem falha
36318,1,Falha
36319,1,Falha
36320,0,Sem falha
36321,1,Falha
36322,0,Sem falha
36323,0,Sem falha
36324,0,Sem falha
36325,1,Falha
36326,0,Sem falha
36327,1,Falha
36328,0,Sem falha
36329,0,Sem falha
36330,0,Sem falha
36331,1,Falha
36332,0,Sem falha
36333,0,Sem falha
36334,0,Sem falha
36335,0,Sem falha
36336,0,Sem falha
36337,1,Falha
36338,0,Sem falha
36339,0,Sem falha
36340,1,Falha
36341,1,Falha
36342,0,Sem falha
36343,0,Sem falha
36344,0,Sem falha
36345,0,Sem falha
36346,0,Sem falha
36347,0,Sem falha
36348,0,Sem falha
36349,0,Sem falha
36350,1,Falha
36351,0,Sem falha
36352,0,Sem falha
36353,0,Sem falha
36354,0,Sem falha
36355,0,Sem falha
36356,0,Sem falha
36357,0,Sem falha
36358,1,Falha
36359,0,Sem falha
36360,1,Falha
36361,1,Falha
36362,0,Sem falha
36363,0,Sem falha
36364,0,Sem falha
36365,0,Sem falha
36366,1,Falha
36367,0,Sem falha
36368,0,Sem falha
36369,1,Falha
36370,0,Sem falha
36371,0,Sem falha
36372,0,Sem falha
36373,0,Sem falha
36374,0,Sem falha
36375,0,Sem falha
36376,0,Sem falha
36377,0,Sem falha
36378,1,Falha
36379,1,Falha
36380,1,Falha
36381,1,Falha
36382,0,Sem falha
36383,0,Sem falha
36384,0,Sem falha
36385,1,Falha
36386,0,Sem falha
36387,0,Sem falha
36388,1,Falha
36389,0,Sem falha
36390,0,Sem falha
36391,1,Falha
36392,0,Sem falha
36393,0,Sem falha
36394,1,Falha
36395,0,Sem falha
36396,1,Falha
36397,1,Falha
36398,1,Falha
36399,1,Falha
36400,0,Sem falha
36401,0,Sem falha
36402,1,Falha
36403,1,Falha
36404,0,Sem falha
36405,0,Sem falha
36406,0,Sem falha
36407,0,Sem falha
36408,0,Sem falha
36409,0,Sem falha
36410,0,Sem falha
36411,1,Falha
36412,1,Falha
36413,1,Falha
36414,0,Sem falha
36415,0,Sem falha
36416,0,Sem falha
36417,0,Sem falha
36418,1,Falha
36419,0,Sem falha
36420,0,Sem falha
36421,0,Sem falha
36422,0,Sem falha
36423,1,Falha
36424,0,Sem falha
36425,0,Sem falha
36426,0,Sem falha
36427,1,Falha
36428,0,Sem falha
36429,0,Sem falha
36430,1,Falha
36431,0,Sem falha
36432,0,Sem falha
36433,0,Sem falha
36434,1,Falha
36435,1,Falha
36436,1,Falha
36437,0,Sem falha
36438,0,Sem falha
36439,1,Falha
36440,0,Sem falha
36441,0,Sem falha
36442,1,Falha
36443,0,Sem falha
36444,0,Sem falha
36445,0,Sem falha
36446,0,Sem falha
36447,0,Sem falha
36448,1,Falha
36449,0,Sem falha
36450,1,Falha
36451,0,Sem falha
36452,0,Sem falha
36453,0,Sem falha
36454,0,Sem falha
36455,0,Sem falha
36456,0,Sem falha
36457,0,Sem falha
36458,0,Sem falha
36459,1,Falha
36460,0,Sem falha
36461,0,Sem falha
36462,0,Sem falha
36463,1,Falha
36464,1,Falha
36465,0,Sem falha
36466,0,Sem falha
36467,0,Sem falha
36468,0,Sem falha
36469,1,Falha
36470,0,Sem falha
36471,0,Sem falha
36472,0,Sem falha
36473,0,Sem falha
36474,1,Falha
36475,1,Falha
36476,0,Sem falha
36477,0,Sem falha
36478,0,Sem falha
36479,1,Falha
36480,0,Sem falha
36481,0,Sem falha
36482,1,Falha
36483,0,Sem falha
36484,0,Sem falha
36485,0,Sem falha
36486,0,Sem falha
36487,0,Sem falha
36488,0,Sem falha
36489,0,Sem falha
36490,0,Sem falha
36491,1,Falha
36492,0,Sem falha
36493,0,Sem falha
36494,0,Sem falha
36495,0,Sem falha
36496,0,Sem falha
36497,1,Falha
36498,0,Sem falha
36499,0,Sem falha
36500,0,Sem falha
36501,0,Sem falha
36502,0,Sem falha
36503,0,Sem falha
36504,0,Sem falha
36505,1,Falha
36506,0,Sem falha
36507,1,Falha
36508,0,Sem falha
36509,0,Sem falha
36510,0,Sem falha
36511,0,Sem falha
36512,0,Sem falha
36513,1,Falha
36514,0,Sem falha
36515,0,Sem falha
36516,1,Falha
36517,0,Sem falha
36518,1,Falha
36519,0,Sem falha
36520,1,Falha
36521,0,Sem falha
36522,1,Falha
36523,0,Sem falha
36524,0,Sem falha
36525,0,Sem falha
36526,0,Sem falha
36527,0,Sem falha
36528,0,Sem falha
36529,0,Sem falha
36530,0,Sem falha
36531,0,Sem falha
36532,0,Sem falha
36533,1,Falha
36534,0,Sem falha
36535,0,Sem falha
36536,0,Sem falha
36537,1,Falha
36538,0,Sem falha
36539,1,Falha
36540,0,Sem falha
36541,0,Sem falha
36542,0,Sem falha
36543,0,Sem falha
36544,0,Sem falha
36545,0,Sem falha
36546,0,Sem falha
36547,1,Falha
36548,0,Sem falha
36549,0,Sem falha
36550,0,Sem falha
36551,0,Sem falha
36552,0,Sem falha
36553,1,Falha
36554,0,Sem falha
36555,0,Sem falha
36556,1,Falha
36557,0,Sem falha
36558,0,Sem falha
36559,0,Sem falha
36560,1,Falha
36561,1,Falha
36562,1,Falha
36563,1,Falha
36564,1,Falha
36565,0,Sem falha
36566,0,Sem falha
36567,0,Sem falha
36568,0,Sem falha
36569,1,Falha
36570,0,Sem falha
36571,1,Falha
36572,0,Sem falha
36573,0,Sem falha
36574,0,Sem falha
36575,0,Sem falha
36576,0,Sem falha
36577,0,Sem falha
36578,0,Sem falha
36579,0,Sem falha
36580,0,Sem falha
36581,1,Falha
36582,0,Sem falha
36583,1,Falha
36584,0,Sem falha
36585,1,Falha
36586,1,Falha
36587,1,Falha
36588,0,Sem falha
36589,0,Sem falha
36590,0,Sem falha
36591,0,Sem falha
36592,0,Sem falha
36593,0,Sem falha
36594,0,Sem falha
36595,0,Sem falha
36596,1,Falha
36597,0,Sem falha
36598,0,Sem falha
36599,1,Falha
